date,funny_posts,funny_coms,gaming_posts,gaming_coms,worldnews_posts,worldnews_coms
2007-09-17,0,0,26,0,0,0
2007-09-18,0,0,38,0,0,0
2007-09-19,0,0,21,0,0,0
2007-09-20,0,0,34,0,0,0
2007-09-21,0,0,25,0,0,0
2007-09-22,0,0,32,0,0,0
2007-09-23,0,0,22,0,0,0
2007-09-24,0,0,26,0,0,0
2007-09-25,0,0,40,0,0,0
2007-09-26,0,0,21,0,0,0
2007-09-27,0,0,30,0,0,0
2007-09-28,0,0,25,0,0,0
2007-09-29,0,0,13,0,0,0
2007-09-30,0,0,18,0,0,0
2007-10-01,0,0,20,0,0,0
2007-10-02,0,0,28,0,0,0
2007-10-03,0,0,31,0,0,0
2007-10-04,0,0,36,0,0,0
2007-10-05,0,0,23,0,0,0
2007-10-06,0,0,18,0,0,0
2007-10-07,0,0,19,0,0,0
2007-10-08,0,0,20,0,0,0
2007-10-09,0,0,30,0,0,0
2007-10-10,0,0,23,0,0,0
2007-10-11,0,0,48,0,0,0
2007-10-12,0,0,37,0,0,0
2007-10-13,0,0,14,0,0,0
2007-10-14,0,0,4,0,0,0
2007-10-15,0,0,23,0,0,0
2007-10-16,0,0,33,0,0,0
2007-10-17,0,0,36,0,0,0
2007-10-18,0,0,40,0,0,0
2007-10-19,0,0,44,0,0,0
2007-10-20,0,0,25,0,0,0
2007-10-21,0,0,20,0,0,0
2007-10-22,0,0,31,0,0,0
2007-10-23,0,0,42,0,0,0
2007-10-24,0,0,36,0,0,0
2007-10-25,0,0,37,0,0,0
2007-10-26,0,0,37,0,0,0
2007-10-27,0,0,27,0,0,0
2007-10-28,0,0,24,0,0,0
2007-10-29,0,0,38,0,0,0
2007-10-30,0,0,31,0,0,0
2007-10-31,0,0,38,0,0,0
2007-11-01,0,0,26,0,0,0
2007-11-02,0,0,29,0,0,0
2007-11-03,0,0,29,0,0,0
2007-11-04,0,0,18,0,0,0
2007-11-05,0,0,32,0,0,0
2007-11-06,0,0,41,0,0,0
2007-11-07,0,0,37,0,0,0
2007-11-08,0,0,51,0,0,0
2007-11-09,0,0,28,0,0,0
2007-11-10,0,0,24,0,0,0
2007-11-11,0,0,36,0,0,0
2007-11-12,0,0,54,0,0,0
2007-11-13,0,0,39,0,0,0
2007-11-14,0,0,59,0,0,0
2007-11-15,0,0,52,0,0,0
2007-11-16,0,0,50,0,0,0
2007-11-17,0,0,27,0,0,0
2007-11-18,0,0,17,0,0,0
2007-11-19,0,0,49,0,0,0
2007-11-20,0,0,54,0,0,0
2007-11-21,0,0,47,0,0,0
2007-11-22,0,0,34,0,0,0
2007-11-23,0,0,25,0,0,0
2007-11-24,0,0,20,0,0,0
2007-11-25,0,0,23,0,0,0
2007-11-26,0,0,32,0,0,0
2007-11-27,0,0,67,0,0,0
2007-11-28,0,0,68,0,0,0
2007-11-29,0,0,43,0,0,0
2007-11-30,0,0,56,0,0,0
2007-12-01,0,0,26,0,0,0
2007-12-02,0,0,42,0,0,0
2007-12-03,0,0,56,0,0,0
2007-12-04,0,0,54,0,0,0
2007-12-05,0,0,60,0,0,0
2007-12-06,0,0,59,0,0,0
2007-12-07,0,0,63,0,0,0
2007-12-08,0,0,43,0,0,0
2007-12-09,0,0,28,0,0,0
2007-12-10,0,0,66,0,0,0
2007-12-11,0,0,41,0,0,0
2007-12-12,0,0,49,0,0,0
2007-12-13,0,0,66,0,0,0
2007-12-14,0,0,53,0,0,0
2007-12-15,0,0,39,0,0,0
2007-12-16,0,0,25,0,0,0
2007-12-17,0,0,57,0,0,0
2007-12-18,0,0,66,0,0,0
2007-12-19,0,0,66,0,0,0
2007-12-20,0,0,35,0,0,0
2007-12-21,0,0,50,0,0,0
2007-12-22,0,0,40,0,0,0
2007-12-23,0,0,34,0,0,0
2007-12-24,0,0,24,0,0,0
2007-12-25,0,0,22,0,0,0
2007-12-26,0,0,30,0,0,0
2007-12-27,0,0,42,0,0,0
2007-12-28,0,0,55,0,0,0
2007-12-29,0,0,37,0,0,0
2007-12-30,0,0,43,0,0,0
2007-12-31,0,0,40,0,0,0
2008-01-01,0,0,21,0,0,0
2008-01-02,0,0,64,0,0,0
2008-01-03,0,0,43,0,0,0
2008-01-04,0,0,56,0,0,0
2008-01-05,0,0,37,0,0,0
2008-01-06,0,0,42,0,0,0
2008-01-07,0,0,65,0,0,0
2008-01-08,0,0,53,0,0,0
2008-01-09,0,0,61,0,0,0
2008-01-10,0,0,65,0,0,0
2008-01-11,0,0,53,0,0,0
2008-01-12,0,0,42,0,0,0
2008-01-13,0,0,40,0,0,0
2008-01-14,0,0,63,0,0,0
2008-01-15,0,0,79,0,0,0
2008-01-16,0,0,60,0,0,0
2008-01-17,0,0,74,0,0,0
2008-01-18,0,0,74,0,0,0
2008-01-19,0,0,50,0,0,0
2008-01-20,0,0,39,0,0,0
2008-01-21,0,0,69,0,0,0
2008-01-22,0,0,55,0,0,0
2008-01-23,0,0,79,0,0,0
2008-01-24,0,0,88,0,0,0
2008-01-25,0,0,59,0,8,0
2008-01-26,1,0,58,0,6,0
2008-01-27,2,0,55,0,2,0
2008-01-28,3,0,82,0,3,0
2008-01-29,1,0,80,0,7,0
2008-01-30,4,0,75,0,12,0
2008-01-31,2,0,84,0,5,0
2008-02-01,0,0,82,0,18,0
2008-02-02,0,0,40,0,9,0
2008-02-03,0,0,47,0,5,0
2008-02-04,2,0,61,0,4,0
2008-02-05,1,0,63,0,15,0
2008-02-06,5,0,82,0,19,0
2008-02-07,23,0,93,0,43,0
2008-02-08,18,0,71,0,32,0
2008-02-09,17,0,56,0,21,0
2008-02-10,23,0,43,0,26,0
2008-02-11,3,0,93,0,52,0
2008-02-12,0,0,74,0,54,0
2008-02-13,1,0,82,0,55,0
2008-02-14,3,0,87,0,51,0
2008-02-15,7,0,86,0,48,0
2008-02-16,2,0,38,0,33,0
2008-02-17,2,0,35,0,40,0
2008-02-18,8,0,74,0,67,0
2008-02-19,4,0,71,0,76,0
2008-02-20,4,0,85,0,43,0
2008-02-21,1,0,98,0,84,0
2008-02-22,4,0,79,0,61,0
2008-02-23,0,0,77,0,50,0
2008-02-24,4,0,49,0,53,0
2008-02-25,5,0,95,0,91,0
2008-02-26,1,0,95,0,80,0
2008-02-27,3,0,84,0,104,0
2008-02-28,4,0,98,0,81,0
2008-02-29,7,0,92,0,74,0
2008-03-01,31,0,73,0,57,0
2008-03-02,40,0,51,0,78,0
2008-03-03,43,0,76,0,104,0
2008-03-04,55,0,127,0,102,0
2008-03-05,88,0,99,0,100,0
2008-03-06,83,0,91,0,122,0
2008-03-07,101,0,93,0,71,0
2008-03-08,58,0,42,0,58,0
2008-03-09,62,0,41,0,64,0
2008-03-10,90,0,112,0,100,0
2008-03-11,101,0,90,0,83,0
2008-03-12,104,0,81,0,85,0
2008-03-13,90,0,87,0,92,0
2008-03-14,93,0,97,0,91,0
2008-03-15,59,0,57,0,73,0
2008-03-16,68,0,57,0,85,0
2008-03-17,150,0,86,0,192,0
2008-03-18,175,0,100,0,168,0
2008-03-19,163,0,99,0,151,0
2008-03-20,153,0,74,0,182,0
2008-03-21,123,0,77,0,121,0
2008-03-22,96,0,61,0,100,0
2008-03-23,94,0,45,0,70,0
2008-03-24,176,0,73,0,181,0
2008-03-25,184,0,80,0,176,0
2008-03-26,182,0,89,0,180,0
2008-03-27,172,0,106,0,186,0
2008-03-28,164,0,76,0,165,0
2008-03-29,123,0,49,0,144,0
2008-03-30,139,0,56,0,140,0
2008-03-31,192,0,95,0,189,0
2008-04-01,215,0,96,0,194,0
2008-04-02,192,0,96,0,151,0
2008-04-03,186,0,91,0,186,0
2008-04-04,190,0,68,0,184,0
2008-04-05,134,0,46,0,111,0
2008-04-06,116,0,53,0,103,0
2008-04-07,186,0,82,0,187,0
2008-04-08,177,0,81,0,177,0
2008-04-09,211,0,63,0,209,0
2008-04-10,198,0,93,0,198,0
2008-04-11,186,0,75,0,180,0
2008-04-12,166,0,36,0,131,0
2008-04-13,119,0,43,0,130,0
2008-04-14,189,0,80,0,167,0
2008-04-15,197,0,95,0,201,0
2008-04-16,198,0,68,0,203,0
2008-04-17,168,0,74,0,188,0
2008-04-18,159,0,64,0,119,0
2008-04-19,136,0,30,0,91,0
2008-04-20,122,0,23,0,109,0
2008-04-21,180,0,47,0,167,0
2008-04-22,216,0,48,0,193,0
2008-04-23,211,0,45,0,184,0
2008-04-24,192,0,44,0,160,0
2008-04-25,159,0,58,0,174,0
2008-04-26,134,0,33,0,117,0
2008-04-27,126,0,33,0,123,0
2008-04-28,171,0,40,0,165,0
2008-04-29,169,0,53,0,191,0
2008-04-30,172,0,40,0,178,0
2008-05-01,149,0,45,0,157,0
2008-05-02,146,0,40,0,184,0
2008-05-03,104,0,19,0,110,0
2008-05-04,104,0,19,0,133,0
2008-05-05,171,0,34,0,180,0
2008-05-06,181,0,39,0,178,0
2008-05-07,189,0,53,0,177,0
2008-05-08,210,0,55,0,181,0
2008-05-09,176,0,72,0,205,0
2008-05-10,135,0,25,0,124,0
2008-05-11,114,0,35,0,107,0
2008-05-12,219,0,48,0,194,0
2008-05-13,201,0,46,0,178,0
2008-05-14,184,0,37,0,202,0
2008-05-15,202,0,59,0,196,0
2008-05-16,219,0,59,0,183,0
2008-05-17,143,0,28,0,135,0
2008-05-18,123,0,25,0,104,0
2008-05-19,178,0,44,0,200,0
2008-05-20,205,0,49,0,171,0
2008-05-21,206,0,45,0,181,0
2008-05-22,230,0,44,0,160,0
2008-05-23,190,0,40,0,148,0
2008-05-24,151,0,37,0,125,0
2008-05-25,146,0,23,0,128,0
2008-05-26,173,0,34,0,169,0
2008-05-27,235,0,50,0,239,0
2008-05-28,243,0,63,0,230,0
2008-05-29,238,0,65,0,192,0
2008-05-30,218,0,55,0,211,0
2008-05-31,159,0,42,0,160,0
2008-06-01,136,0,25,0,132,0
2008-06-02,188,0,51,0,211,0
2008-06-03,249,0,51,0,218,0
2008-06-04,202,0,46,0,199,0
2008-06-05,181,0,43,0,123,0
2008-06-06,209,0,42,0,158,0
2008-06-07,167,0,33,0,125,0
2008-06-08,106,0,31,0,176,0
2008-06-09,198,0,58,0,230,0
2008-06-10,242,0,53,0,234,0
2008-06-11,235,0,52,0,246,0
2008-06-12,243,0,65,0,223,0
2008-06-13,169,0,44,0,240,0
2008-06-14,126,0,24,0,135,0
2008-06-15,131,0,31,0,147,0
2008-06-16,191,0,55,0,240,0
2008-06-17,188,0,55,0,257,0
2008-06-18,147,0,110,0,247,0
2008-06-19,123,0,39,0,277,0
2008-06-20,113,0,53,0,204,0
2008-06-21,115,0,34,0,147,0
2008-06-22,123,0,27,0,157,0
2008-06-23,172,0,57,0,252,0
2008-06-24,208,0,59,0,237,0
2008-06-25,209,0,79,0,257,0
2008-06-26,224,0,65,0,252,0
2008-06-27,235,0,88,0,231,0
2008-06-28,161,0,76,0,144,0
2008-06-29,117,0,42,0,164,0
2008-06-30,179,0,57,0,222,0
2008-07-01,244,0,51,0,242,0
2008-07-02,237,0,65,0,260,0
2008-07-03,254,0,54,0,237,0
2008-07-04,198,0,47,0,161,0
2008-07-05,145,0,28,0,123,0
2008-07-06,126,0,33,0,161,0
2008-07-07,235,0,92,0,274,0
2008-07-08,254,0,73,0,211,0
2008-07-09,217,0,65,0,257,0
2008-07-10,241,0,102,0,232,0
2008-07-11,268,0,73,0,248,0
2008-07-12,165,0,39,0,165,0
2008-07-13,147,0,31,0,144,0
2008-07-14,217,0,102,0,234,0
2008-07-15,226,0,113,0,243,0
2008-07-16,289,0,106,0,283,0
2008-07-17,235,0,82,0,313,0
2008-07-18,227,0,60,0,280,0
2008-07-19,129,0,44,0,180,0
2008-07-20,136,0,36,0,149,0
2008-07-21,283,0,84,0,256,0
2008-07-22,242,0,83,0,248,0
2008-07-23,240,0,78,0,247,0
2008-07-24,220,0,75,0,207,0
2008-07-25,226,0,72,0,257,0
2008-07-26,147,0,41,0,161,0
2008-07-27,157,0,28,0,161,0
2008-07-28,211,0,69,0,232,0
2008-07-29,225,0,74,0,282,0
2008-07-30,238,0,83,0,221,0
2008-07-31,239,0,61,0,208,0
2008-08-01,212,0,68,0,181,0
2008-08-02,170,0,54,0,122,0
2008-08-03,149,0,25,0,161,0
2008-08-04,187,0,67,0,219,0
2008-08-05,220,0,88,0,220,0
2008-08-06,223,0,73,0,221,0
2008-08-07,221,0,70,0,220,0
2008-08-08,205,0,92,0,282,0
2008-08-09,131,0,42,0,207,0
2008-08-10,141,0,42,0,174,0
2008-08-11,192,0,66,0,325,0
2008-08-12,219,0,69,0,311,0
2008-08-13,220,0,64,0,247,0
2008-08-14,226,0,62,0,269,0
2008-08-15,218,0,84,0,277,0
2008-08-16,144,0,42,0,183,0
2008-08-17,113,0,38,0,161,0
2008-08-18,208,0,86,0,274,0
2008-08-19,201,0,88,0,277,0
2008-08-20,247,0,85,0,264,0
2008-08-21,253,0,76,0,264,0
2008-08-22,211,0,63,0,182,0
2008-08-23,145,0,32,0,156,0
2008-08-24,150,0,29,0,157,0
2008-08-25,247,0,54,0,231,0
2008-08-26,220,0,46,0,250,0
2008-08-27,211,0,59,0,212,0
2008-08-28,222,0,46,0,197,0
2008-08-29,200,0,63,0,233,0
2008-08-30,131,0,31,0,170,0
2008-08-31,146,0,21,0,204,0
2008-09-01,191,0,45,0,264,0
2008-09-02,235,0,47,0,250,0
2008-09-03,226,0,54,0,219,0
2008-09-04,213,0,53,0,258,0
2008-09-05,248,0,59,0,258,0
2008-09-06,209,0,31,0,181,0
2008-09-07,168,0,32,0,136,0
2008-09-08,182,0,64,0,265,0
2008-09-09,270,0,88,0,233,0
2008-09-10,264,0,76,0,247,0
2008-09-11,209,0,80,0,261,0
2008-09-12,195,0,74,0,233,0
2008-09-13,158,0,38,0,176,0
2008-09-14,127,0,33,0,160,0
2008-09-15,192,0,88,0,199,0
2008-09-16,232,0,87,0,248,0
2008-09-17,247,0,74,0,201,0
2008-09-18,272,0,73,0,180,0
2008-09-19,225,0,77,0,168,0
2008-09-20,198,0,41,0,157,0
2008-09-21,166,0,50,0,139,0
2008-09-22,258,0,80,0,213,0
2008-09-23,242,0,68,0,216,0
2008-09-24,258,0,65,0,239,0
2008-09-25,245,0,69,0,263,0
2008-09-26,253,0,67,0,211,0
2008-09-27,182,0,37,0,131,0
2008-09-28,157,0,26,0,133,0
2008-09-29,219,0,58,0,198,0
2008-09-30,261,0,59,0,191,0
2008-10-01,234,0,89,0,114,0
2008-10-02,284,0,71,0,77,0
2008-10-03,246,0,50,0,99,0
2008-10-04,202,0,38,0,92,0
2008-10-05,175,0,36,0,122,0
2008-10-06,229,0,58,0,174,0
2008-10-07,277,0,51,0,237,0
2008-10-08,273,0,70,0,205,0
2008-10-09,245,0,81,0,223,0
2008-10-10,226,0,72,0,214,0
2008-10-11,171,0,45,0,94,0
2008-10-12,154,0,37,0,103,0
2008-10-13,233,0,61,0,236,0
2008-10-14,280,0,87,0,175,0
2008-10-15,282,0,71,0,237,0
2008-10-16,297,0,68,0,184,0
2008-10-17,288,0,75,0,206,0
2008-10-18,168,0,42,0,180,0
2008-10-19,192,0,39,0,155,0
2008-10-20,265,0,69,0,258,0
2008-10-21,239,0,87,0,227,0
2008-10-22,239,0,69,0,159,0
2008-10-23,236,0,69,0,171,0
2008-10-24,282,0,75,0,195,0
2008-10-25,190,0,41,0,126,0
2008-10-26,158,0,40,0,161,0
2008-10-27,260,0,85,0,235,0
2008-10-28,271,0,84,0,261,0
2008-10-29,268,0,98,0,231,0
2008-10-30,297,0,79,0,152,0
2008-10-31,287,0,87,0,172,0
2008-11-01,208,0,35,0,182,0
2008-11-02,226,0,51,0,167,0
2008-11-03,251,0,90,0,209,0
2008-11-04,285,0,71,0,161,0
2008-11-05,255,0,81,0,217,0
2008-11-06,265,0,69,0,199,0
2008-11-07,267,0,76,0,255,0
2008-11-08,173,0,47,0,196,0
2008-11-09,185,0,54,0,175,0
2008-11-10,284,0,85,0,293,0
2008-11-11,330,0,95,0,291,0
2008-11-12,296,0,116,0,324,0
2008-11-13,290,0,107,0,326,0
2008-11-14,319,0,106,0,332,0
2008-11-15,237,0,55,0,227,0
2008-11-16,225,0,47,0,191,0
2008-11-17,294,0,81,0,268,0
2008-11-18,273,0,93,0,292,0
2008-11-19,307,0,115,0,343,0
2008-11-20,307,0,76,0,320,0
2008-11-21,283,0,75,0,348,0
2008-11-22,215,0,42,0,210,0
2008-11-23,204,0,53,0,183,0
2008-11-24,268,0,77,0,303,0
2008-11-25,276,0,76,0,325,0
2008-11-26,327,0,85,0,335,0
2008-11-27,255,0,57,0,331,0
2008-11-28,216,0,54,0,295,0
2008-11-29,205,0,48,0,242,0
2008-11-30,189,0,37,0,290,0
2008-12-01,253,0,68,0,412,0
2008-12-02,309,0,83,0,439,0
2008-12-03,351,0,83,0,384,0
2008-12-04,305,0,91,0,369,0
2008-12-05,292,0,83,0,336,0
2008-12-06,235,0,51,0,268,0
2008-12-07,213,0,52,0,209,0
2008-12-08,282,0,76,0,357,0
2008-12-09,379,0,90,0,330,0
2008-12-10,354,0,113,0,304,0
2008-12-11,362,0,115,0,302,0
2008-12-12,322,0,93,0,204,0
2008-12-13,198,0,51,0,119,0
2008-12-14,185,0,47,0,204,0
2008-12-15,320,0,108,0,361,0
2008-12-16,371,0,92,0,340,0
2008-12-17,388,0,83,0,340,0
2008-12-18,334,0,95,0,297,0
2008-12-19,311,0,79,0,341,0
2008-12-20,228,0,60,0,205,0
2008-12-21,225,0,74,0,175,0
2008-12-22,281,0,84,0,256,0
2008-12-23,283,0,90,0,274,0
2008-12-24,283,0,69,0,212,0
2008-12-25,169,0,47,0,194,0
