year,life_expectancy,gdp_per_capita,population,number_of_child_deaths,income_per_person,country,continent
2002,52.43,364.57057,21979923,126900,1064,Afghanistan,Asia
2003,53.03,376.75871,23064851,127100,1099,Afghanistan,Asia
2004,53.5,364.09544,24118979,126500,1062,Afghanistan,Asia
2005,53.87,389.41636,25070798,124800,1136,Afghanistan,Asia
2006,54.15,397.9859,25893450,123700,1161,Afghanistan,Asia
2007,54.57,440.36816,26616792,122000,1285,Afghanistan,Asia
2008,55.21,444.95014,27294031,119900,1298,Afghanistan,Asia
2009,55.69,524.82353,28004331,117300,1531,Afghanistan,Asia
2010,56.2,553.30029,28803167,114600,1614,Afghanistan,Asia
2011,56.71,569.23339,29708599,110600,1661,Afghanistan,Asia
2012,57.23,630.42741,30696958,106200,1839,Afghanistan,Asia
2013,57.71,633.65841,31731688,101800,1814,Afghanistan,Asia
2014,57.83,630.32001,32758020,97690,1780,Afghanistan,Asia
2015,57.9,620.05652,33736494,94260,1748,Afghanistan,Asia
1980,49.93,2333.59793,8929900,94590,4591,Angola,Africa
1981,49.98,2154.99744,9244507,97440,4249,Angola,Africa
1982,50.03,2079.06121,9582156,100300,4107,Angola,Africa
1983,50.06,2090.16552,9931562,103000,4135,Angola,Africa
1984,50.16,2141.03709,10277321,105700,4244,Angola,Africa
1985,50.26,2146.68485,10609042,108300,4264,Angola,Africa
1986,50.23,2145.83322,10921037,111100,4286,Angola,Africa
1987,50,2174.26655,11218268,113600,4478,Angola,Africa
1988,49.78,2248.26345,11513968,116100,4622,Angola,Africa
1989,50.16,2189.62449,11827237,119000,4530,Angola,Africa
1990,50.21,2054.29485,12171441,122500,4394,Angola,Africa
1991,50.79,2011.52778,12553446,126100,4209,Angola,Africa
1992,50.96,1833.49114,12968345,130100,3794,Angola,Africa
1993,49.7,1348.48436,13403734,134000,2764,Angola,Africa
1994,51.13,1323.34467,13841301,137900,2770,Angola,Africa
1995,51.96,1476.23117,14268994,141500,2967,Angola,Africa
1996,52.31,1628.99484,14682284,145200,3206,Angola,Africa
1997,52.69,1700.39185,15088981,148100,3366,Angola,Africa
1998,52.83,1732.47197,15504318,150700,3499,Angola,Africa
1999,52.92,1720.82536,15949766,153600,3511,Angola,Africa
2000,53.36,1720.41165,16440924,156900,3509,Angola,Africa
2001,53.64,1735.52193,16983266,160100,3540,Angola,Africa
2002,54.48,1906.5292,17572649,163600,3184,Angola,Africa
2003,55.07,1924.28659,18203369,167000,3235,Angola,Africa
2004,55.71,2046.82618,18865716,170500,3461,Angola,Africa
2005,56.45,2387.82541,19552542,173700,3949,Angola,Africa
2006,56.95,2741.71228,20262399,176300,4601,Angola,Africa
2007,57.84,3259.23232,20997687,177700,5443,Angola,Africa
2008,58.58,3579.70277,21759420,178400,5978,Angola,Africa
2009,59.28,3537.61989,22549547,178400,5908,Angola,Africa
2010,60.08,3531.41688,23369131,178100,5895,Angola,Africa
2011,60.9,3539.54308,24218565,177000,5911,Angola,Africa
2012,61.71,3592.62377,25096150,175400,5999,Angola,Africa
2013,62.49,3705.25535,25998340,173500,6185,Angola,Africa
2014,63.29,3746.66049,26920466,171600,6260,Angola,Africa
2015,64,3729.00354,27859305,169300,6231,Angola,Africa
1960,64.06,5605.19172,20619075,35740,9025,Argentina,Americas
1961,64.17,5815.23356,20953077,33860,9505,Argentina,Americas
1962,64.25,5675.06004,21287682,32060,9191,Argentina,Americas
1963,64.32,5290.76622,21621840,30370,8821,Argentina,Americas
1964,64.38,5738.59769,21953929,28790,9586,Argentina,Americas
1965,64.46,6251.32182,22283390,29040,10314,Argentina,Americas
1966,64.57,6120.71218,22608748,29950,10226,Argentina,Americas
1967,64.72,6226.99776,22932203,30280,10351,Argentina,Americas
1968,64.89,6434.95378,23261278,30640,10652,Argentina,Americas
1969,65.11,6954.76412,23605987,38320,11412,Argentina,Americas
1970,65.36,7056.84806,23973058,38660,11861,Argentina,Americas
1971,65.65,7335.75914,24366439,39120,12156,Argentina,Americas
1972,65.99,7329.92116,24782949,39650,12244,Argentina,Americas
1973,66.43,7407.36675,25213388,40020,12535,Argentina,Americas
1974,66.79,7685.85721,25644506,40140,13045,Argentina,Americas
1975,67.35,7559.14375,26066975,39920,12797,Argentina,Americas
1976,67.76,7291.84043,26477152,39360,12639,Argentina,Americas
1977,68.2,7681.01757,26878565,38240,13299,Argentina,Americas
1978,68.84,7227.56412,27277741,36570,12714,Argentina,Americas
1979,69.38,7849.36334,27684534,34290,13452,Argentina,Americas
1980,69.85,8052.68965,28105888,31650,13500,Argentina,Americas
1981,70.16,7478.13043,28543364,28880,12604,Argentina,Americas
1982,70.55,6996.96292,28993987,26150,12077,Argentina,Americas
1983,70.62,7154.41125,29454738,23740,12442,Argentina,Americas
1984,70.93,7198.71994,29920904,21910,12569,Argentina,Americas
1985,71.33,6550.15032,30388783,20720,11559,Argentina,Americas
1986,71.6,6958.75247,30857244,20200,12280,Argentina,Americas
1987,71.77,7053.98564,31326473,20230,12474,Argentina,Americas
1988,71.91,6772.22302,31795517,20470,12113,Argentina,Americas
1989,72.05,6173.68498,32263561,20580,11139,Argentina,Americas
1990,72.14,5939.75692,32729739,20410,10816,Argentina,Americas
1991,72.34,6598.72263,33193918,19910,12016,Argentina,Americas
1992,72.5,7285.42943,33655151,19210,13266,Argentina,Americas
1993,72.74,7612.68115,34110917,18340,13862,Argentina,Americas
1994,73,7952.71155,34558115,17560,14481,Argentina,Americas
1995,73.12,7630.02227,34994814,16810,13894,Argentina,Americas
1996,73.3,7955.12765,35419682,16120,14486,Argentina,Americas
1997,73.5,8500.94036,35833969,15440,15479,Argentina,Americas
1998,73.71,8728.94765,36241590,14870,15895,Argentina,Americas
1999,73.93,8339.89439,36648068,14400,15186,Argentina,Americas
2000,74.21,8182.6865,37057452,14020,14900,Argentina,Americas
2001,74.38,7735.49336,37471509,13840,14086,Argentina,Americas
2002,74.48,6816.73486,37889370,13760,12413,Argentina,Americas
2003,74.63,7337.79204,38309379,13630,13361,Argentina,Americas
2004,74.9,7913.74312,38728696,13370,14410,Argentina,Americas
2005,75.15,8522.52273,39145488,12900,15519,Argentina,Americas
2006,75.29,9112.11316,39558890,12390,16592,Argentina,Americas
2007,75.32,9830.68092,39970224,11850,17901,Argentina,Americas
2008,75.52,10125.12627,40382389,11420,18437,Argentina,Americas
2009,75.66,9428.50254,40799407,11020,17168,Argentina,Americas
2010,75.82,10276.2605,41223889,10680,18712,Argentina,Americas
2011,75.98,10780.01566,41656879,10420,19629,Argentina,Americas
2012,76.1,10557.88539,42096739,10220,19225,Argentina,Americas
2013,76.22,10699.19772,42539925,9973,19482,Argentina,Americas
2014,76.42,10323.20694,42981515,9770,18798,Argentina,Americas
2015,76.54,10498.59253,43417765,9513,19101,Argentina,Americas
1990,70.24,1796.93643,3538165,3975,3742,Armenia,Asia
1991,70,1601.59382,3505251,3591,3336,Armenia,Asia
1992,69.05,949.03322,3442810,3152,1977,Armenia,Asia
1993,68.66,886.03279,3363098,2706,1845,Armenia,Asia
1994,68.87,956.47089,3283660,2311,1992,Armenia,Asia
1995,69.26,1043.54314,3217342,1978,2173,Armenia,Asia
1996,69.55,1121.88163,3168215,1686,2337,Armenia,Asia
1997,70.25,1172.1368,3133086,1456,2441,Armenia,Asia
1998,70.74,1267.57528,3108684,1284,2640,Armenia,Asia
1999,71.17,1317.74192,3089017,1164,2744,Armenia,Asia
2000,71.85,1404.32146,3069588,1087,2925,Armenia,Asia
2001,72.07,1548.07585,3050655,1054,3224,Armenia,Asia
2002,72.46,1761.88827,3033897,1054,3669,Armenia,Asia
