date,news_posts,news_coms,todayilearned_posts,todayilearned_coms
2008-02-07,1,0,0,0
2008-02-08,3,0,0,0
2008-02-11,4,0,0,0
2008-02-12,9,0,0,0
2008-02-13,7,0,0,0
2008-02-14,4,0,0,0
2008-02-15,2,0,0,0
2008-02-18,3,0,0,0
2008-02-19,5,0,0,0
2008-02-20,2,0,0,0
2008-02-21,2,0,0,0
2008-02-22,3,0,0,0
2008-02-23,2,0,0,0
2008-02-25,3,0,0,0
2008-02-26,1,0,0,0
2008-02-27,3,0,0,0
2008-02-28,5,0,0,0
2008-02-29,1,0,0,0
2008-03-01,1,0,0,0
2008-03-02,4,0,0,0
2008-03-03,7,0,0,0
2008-03-04,11,0,0,0
2008-03-05,4,0,0,0
2008-03-06,10,0,0,0
2008-03-07,11,0,0,0
2008-03-09,1,0,0,0
2008-03-10,7,0,0,0
2008-03-11,6,0,0,0
2008-03-12,5,0,0,0
2008-03-13,5,0,0,0
2008-03-14,12,0,0,0
2008-03-15,6,0,0,0
2008-03-16,1,0,0,0
2008-03-17,8,0,0,0
2008-03-18,13,0,0,0
2008-03-19,8,0,0,0
2008-03-20,8,0,0,0
2008-03-21,4,0,0,0
2008-03-22,5,0,0,0
2008-03-23,3,0,0,0
2008-03-24,10,0,0,0
2008-03-25,7,0,0,0
2008-03-26,12,0,0,0
2008-03-27,14,0,0,0
2008-03-28,6,0,0,0
2008-03-29,7,0,0,0
2008-03-30,5,0,0,0
2008-03-31,4,0,0,0
2008-04-01,9,0,0,0
2008-04-02,10,0,0,0
2008-04-03,8,0,0,0
2008-04-04,11,0,0,0
2008-04-05,7,0,0,0
2008-04-06,5,0,0,0
2008-04-07,6,0,0,0
2008-04-08,3,0,0,0
2008-04-09,13,0,0,0
2008-04-10,11,0,0,0
2008-04-11,3,0,0,0
2008-04-12,3,0,0,0
2008-04-13,1,0,0,0
2008-04-14,3,0,0,0
2008-04-15,8,0,0,0
2008-04-16,8,0,0,0
2008-04-17,11,0,0,0
2008-04-18,11,0,0,0
2008-04-19,9,0,0,0
2008-04-20,5,0,0,0
2008-04-21,17,0,0,0
2008-04-22,13,0,0,0
2008-04-23,19,0,0,0
2008-04-24,17,0,0,0
2008-04-25,11,0,0,0
2008-04-26,9,0,0,0
2008-04-27,7,0,0,0
2008-04-28,16,0,0,0
2008-04-29,6,0,0,0
2008-04-30,16,0,0,0
2008-05-01,10,0,0,0
2008-05-02,40,0,0,0
2008-05-03,9,0,0,0
2008-05-04,6,0,0,0
2008-05-05,6,0,0,0
2008-05-06,14,0,0,0
2008-05-07,28,0,0,0
2008-05-08,28,0,0,0
2008-05-09,32,0,0,0
2008-05-10,17,0,0,0
2008-05-11,14,0,0,0
2008-05-12,14,0,0,0
2008-05-13,10,0,0,0
2008-05-14,11,0,0,0
2008-05-15,13,0,0,0
2008-05-16,16,0,0,0
2008-05-17,15,0,0,0
2008-05-18,8,0,0,0
2008-05-19,21,0,0,0
2008-05-20,35,0,0,0
2008-05-21,25,0,0,0
2008-05-22,24,0,0,0
2008-05-23,24,0,0,0
2008-05-24,11,0,0,0
2008-05-25,10,0,0,0
2008-05-26,11,0,0,0
2008-05-27,9,0,0,0
2008-05-28,5,0,0,0
2008-05-29,4,0,0,0
2008-05-30,5,0,0,0
2008-05-31,2,0,0,0
2008-06-01,11,0,0,0
2008-06-02,15,0,0,0
2008-06-03,15,0,0,0
2008-06-04,22,0,0,0
2008-06-05,18,0,0,0
2008-06-06,10,0,0,0
2008-06-07,4,0,0,0
2008-06-08,10,0,0,0
2008-06-09,16,0,0,0
2008-06-10,10,0,0,0
2008-06-11,15,0,0,0
2008-06-12,14,0,0,0
2008-06-13,19,0,0,0
2008-06-14,4,0,0,0
2008-06-15,10,0,0,0
2008-06-16,17,0,0,0
2008-06-17,14,0,0,0
2008-06-18,19,0,0,0
2008-06-19,14,0,0,0
2008-06-20,13,0,0,0
2008-06-21,9,0,0,0
2008-06-22,7,0,0,0
2008-06-23,38,0,0,0
2008-06-24,42,0,0,0
2008-06-25,34,0,0,0
2008-06-26,37,0,0,0
2008-06-27,21,0,0,0
2008-06-28,15,0,0,0
2008-06-29,21,0,0,0
2008-06-30,26,0,0,0
2008-07-01,38,0,0,0
2008-07-02,23,0,0,0
2008-07-03,33,0,0,0
2008-07-04,17,0,0,0
2008-07-05,39,0,0,0
2008-07-06,23,0,0,0
2008-07-07,33,0,0,0
2008-07-08,26,0,0,0
2008-07-09,54,0,0,0
2008-07-10,55,0,0,0
2008-07-11,45,0,0,0
2008-07-12,22,0,0,0
2008-07-13,11,0,0,0
2008-07-14,38,0,0,0
2008-07-15,50,0,0,0
2008-07-16,34,0,0,0
2008-07-17,49,0,0,0
2008-07-18,28,0,0,0
2008-07-19,20,0,0,0
2008-07-20,17,0,0,0
2008-07-21,28,0,0,0
2008-07-22,52,0,0,0
2008-07-23,47,0,0,0
2008-07-24,31,0,0,0
2008-07-25,46,0,0,0
2008-07-26,39,0,0,0
2008-07-27,30,0,0,0
2008-07-28,62,0,0,0
2008-07-29,57,0,0,0
2008-07-30,34,0,0,0
2008-07-31,24,0,0,0
2008-08-01,49,0,0,0
2008-08-02,24,0,0,0
2008-08-03,18,0,0,0
2008-08-04,27,0,0,0
2008-08-05,48,0,0,0
2008-08-06,57,0,0,0
2008-08-07,27,0,0,0
2008-08-08,33,0,0,0
2008-08-09,21,0,0,0
2008-08-10,20,0,0,0
2008-08-11,39,0,0,0
2008-08-12,34,0,0,0
2008-08-13,31,0,0,0
2008-08-14,37,0,0,0
2008-08-15,24,0,0,0
2008-08-16,23,0,0,0
2008-08-17,25,0,0,0
2008-08-18,30,0,0,0
2008-08-19,21,0,0,0
2008-08-20,28,0,0,0
2008-08-21,37,0,0,0
