date,new_cases,new_deaths,cases,deaths
2020-01-21,1,0,1,0
2020-01-22,0,0,1,0
2020-01-23,0,0,1,0
2020-01-24,1,0,2,0
2020-01-25,1,0,3,0
2020-01-26,2,0,5,0
2020-01-27,0,0,5,0
2020-01-28,0,0,5,0
2020-01-29,0,0,5,0
2020-01-30,1,0,6,0
2020-01-31,1,0,7,0
2020-02-01,1,0,8,0
2020-02-02,3,0,11,0
2020-02-03,0,0,11,0
2020-02-04,0,0,11,0
2020-02-05,1,0,12,0
2020-02-06,0,0,12,0
2020-02-07,0,0,12,0
2020-02-08,0,0,12,0
2020-02-09,0,0,12,0
2020-02-10,1,0,13,0
2020-02-11,0,0,13,0
2020-02-12,1,0,14,0
2020-02-13,1,0,15,0
2020-02-14,0,0,15,0
2020-02-15,0,0,15,0
2020-02-16,0,0,15,0
2020-02-17,10,0,25,0
2020-02-18,0,0,25,0
2020-02-19,0,0,25,0
2020-02-20,2,0,27,0
2020-02-21,3,0,30,0
2020-02-22,0,0,30,0
2020-02-23,0,0,30,0
2020-02-24,13,0,43,0
2020-02-25,2,0,45,0
2020-02-26,15,0,60,0
2020-02-27,0,0,60,0
2020-02-28,5,0,65,0
2020-02-29,5,1,70,1
2020-03-01,18,2,88,3
2020-03-02,16,3,104,6
2020-03-03,21,4,125,10
2020-03-04,36,2,161,12
2020-03-05,67,0,228,12
2020-03-06,83,3,311,15
2020-03-07,117,4,428,19
2020-03-08,119,3,547,22
2020-03-09,201,4,748,26
2020-03-10,270,5,1018,31
2020-03-11,245,6,1263,37
2020-03-12,405,6,1668,43
2020-03-13,556,7,2224,50
2020-03-14,674,10,2898,60
2020-03-15,702,8,3600,68
2020-03-16,907,23,4507,91
2020-03-17,1399,26,5906,117
2020-03-18,2444,45,8350,162
2020-03-19,4043,50,12393,212
2020-03-20,5619,65,18012,277
2020-03-21,6516,83,24528,360
2020-03-22,8545,98,33073,458
2020-03-23,10432,121,43505,579
2020-03-24,10433,206,53938,785
2020-03-25,14634,269,68572,1054
2020-03-26,16998,299,85570,1353
2020-03-27,17330,417,102900,1770
2020-03-28,21066,530,123966,2300
2020-03-29,18520,418,142486,2718
2020-03-30,21469,650,163955,3368
2020-03-31,24506,936,188461,4304
2020-04-01,26930,1021,215391,5325
2020-04-02,29717,1216,245108,6541
2020-04-03,32318,1391,277426,7932
2020-04-04,35099,1556,312525,9488
2020-04-05,25616,1368,338141,10856
2020-04-06,30916,1526,369057,12382
2020-04-07,30337,2234,399394,14616
2020-04-08,31820,2085,431214,16701
2020-04-09,34699,2120,465913,18821
2020-04-10,33473,2263,499386,21084
2020-04-11,31720,2084,531106,23168
2020-04-12,27143,1681,558249,24849
2020-04-13,25769,1764,584018,26613
2020-04-14,26691,2705,610709,29318
2020-04-15,30033,2752,640742,32070
2020-04-16,31613,2348,672355,34418
2020-04-17,31509,2289,703864,36707
2020-04-18,28398,1952,732262,38659
2020-04-19,25334,1520,757596,40179
2020-04-20,27395,1837,784991,42016
2020-04-21,25514,2672,810505,44688
2020-04-22,28831,2371,839336,47059
2020-04-23,33776,2169,873112,49228
2020-04-24,36741,2132,909853,51360
2020-04-25,34408,1966,944261,53326
2020-04-26,26735,1254,970996,54580
2020-04-27,23197,1442,994193,56022
2020-04-28,24653,2394,1018846,58416
2020-04-29,26555,2514,1045401,60930
2020-04-30,30357,2210,1075758,63140
2020-05-01,33970,1762,1109728,64902
2020-05-02,29474,1583,1139202,66485
2020-05-03,26140,1331,1165342,67816
2020-05-04,21962,1089,1187304,68905
2020-05-05,23707,2234,1211011,71139
2020-05-06,24508,2708,1235519,73847
2020-05-07,28476,1958,1263995,75805
2020-05-08,27648,1575,1291643,77380
2020-05-09,24868,1454,1316511,78834
2020-05-10,20317,931,1336828,79765
2020-05-11,17621,982,1354449,80747
2020-05-12,22300,1653,1376749,82400
2020-05-13,21145,1768,1397894,84168
2020-05-14,26962,1738,1424856,85906
2020-05-15,26237,1593,1451093,87499
2020-05-16,23659,1225,1474752,88724
2020-05-17,19014,844,1493766,89568
2020-05-18,21827,846,1515593,90414
2020-05-19,20977,1520,1536570,91934
2020-05-20,23070,1477,1559640,93411
2020-05-21,25733,1311,1585373,94722
2020-05-22,23799,1288,1609172,96010
2020-05-23,22268,1050,1631440,97060
2020-05-24,20031,620,1651471,97680
2020-05-25,19100,510,1670571,98190
2020-05-26,18896,747,1689467,98937
2020-05-27,18744,1485,1708211,100422
2020-05-28,22512,1200,1730723,101622
2020-05-29,24548,1190,1755271,102812
2020-05-30,23397,963,1778668,103775
2020-05-31,20634,604,1799302,104379
2020-06-01,21897,734,1821199,105113
2020-06-02,20791,1082,1841990,106195
2020-06-03,19987,989,1861977,107184
2020-06-04,21616,1008,1883593,108192
